Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2016-0442-R,2015-12-09,2016-06-27,2017-10-11,DI-1,Completed,Sustained,MSB - Management Services Bureau,Gang Task Force,Gang Task Force,Gang Task Force,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34447,Black,Male,32,,Male,Race-Unknown,
Public Initiated,2016-0441-N,2016-06-20,2016-06-24,2016-07-31,NFIM,Completed,NFIM,Not - NOPD Officer,Unknown District/Division,Unknown,Not - NOPD Officer,Not - NOPD Officer,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,34416,,,,,Female,,
Rank Initiated,2016-0451-D,2016-06-18,2016-06-29,2016-06-29,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34418,Black,Female,29,,,,
Public Initiated,2016-0422-P,2016-06-11,2016-06-30,2016-12-21,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34422,White,Male,30,,Female,Race-Unknown,44
Public Initiated,2016-0428-P,2016-06-18,2016-06-20,2016-12-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Reserve Division,,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34425,Black,Male,54,,Female,White,38
Public Initiated,2016-0428-P,2016-06-18,2016-06-20,2016-12-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Reserve Division,,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34426,Black,Male,,,Female,White,38
Rank Initiated,2016-0425-D,2016-05-28,2016-07-01,2016-08-26,DI-2,Completed,Other,,Crime Lab Division,,,,,,,34434,Black,Male,30,,Female,Black,
Public Initiated,2016-0447-P,2016-06-18,2016-06-28,2016-12-27,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34459,Black,Female,40,,Male,Black,58
Public Initiated,2016-0447-P,2016-06-18,2016-06-28,2016-12-27,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,36160,Black,Male,39,,Male,Black,58
Public Initiated,2016-0456-P,2016-07-02,2016-07-02,2017-10-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,34491,White,Male,32,,Male,Black,38
Public Initiated,2016-0450-P,2016-06-20,2016-06-29,2018-06-21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,N/A,Paid Detail,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34499,Black,Male,43,,Male,Race-Unknown,49
Rank Initiated,2016-0443-R,2016-03-03,2016-06-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34515,Asian/Pacific Islander,Male,33,,Male,,
Rank Initiated,2016-0443-R,2016-03-03,2016-06-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34517,Asian/Pacific Islander,Male,33,,Male,,
Public Initiated,2016-0446-P,2016-06-24,2016-06-28,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34519,Black,Female,38,,Female,Black,34
Public Initiated,2016-0446-P,2016-06-24,2016-06-28,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34520,White,Male,40,,Female,Black,34
Public Initiated,2016-0446-P,2016-06-24,2016-06-28,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34522,White,Male,40,,Female,Black,34
Rank Initiated,2016-0455-R,2016-07-02,2016-07-05,2016-11-18,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,AWP - Off Duty,,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,34533,Black,Female,42,,,,
Public Initiated,2016-0454-P,2016-07-01,2016-07-05,2017-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,C Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,34559,Black,Male,33,,Female,Black,21
Public Initiated,2016-0449-P,2015-03-27,2016-06-29,2016-12-27,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Investigation Section,Special Victims  Section,Investigations,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34561,Black,Female,43,,Female,Black,39
Public Initiated,2016-0465-P,2016-07-02,2016-07-06,2016-12-19,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Events,Special Assignment ,Special Assignment,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34562,Black,Male,53,,Male,Hispanic,30
Public Initiated,2016-0461-P,2016-06-26,2016-07-05,2017-04-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Admin Unit,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34569,Black,Male,37,,Female,Black,25
Rank Initiated,2016-0459-D,2016-06-29,2017-06-29,2016-07-11,DI-2,Completed,Other,,Records & Identification / Support Services Divisi,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34570,Black,Female,60,,Female,Black,
Public Initiated,2016-0474-P,2016-06-28,2016-07-12,2017-05-02,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Day Beats,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34573,Black,Female,31,,Female,White,66
Rank Initiated,2016-0469-R,2016-07-01,2016-07-08,2016-10-12,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,Mounted,Unknown Assignment,Regular Working,Between 7am-3pm,RULE 7: DEPT PROPERTY,PARAGRAPH 01 - USE OF DEPARTMENT EQUIPMENT,34576,Black,Male,55,,,,
Public Initiated,2016-0448-P,2016-01-29,2016-07-13,2016-08-18,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34596,American Indian/Alaska Native,Male,57,,Male,Black,29
Public Initiated,2016-0458-P,2016-07-01,2016-07-13,2016-11-18,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34774,White,Male,38,,Male,Black,56
Public Initiated,2016-0452-P,2016-06-29,2016-07-01,2017-03-20,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,34622,Black,Female,35,,Male,Black,32
Public Initiated,2016-0445-N,2016-06-27,2016-06-27,2016-08-26,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,34634,,,,,Female,Black,31
Rank Initiated,2016-0453-R,2016-07-01,2016-07-12,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34637,White,Male,45,,,,
Public Initiated,2016-0457-N,2016-07-01,2016-07-14,2016-08-31,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,34640,Black,Male,27,,Female,Black,31
Public Initiated,2016-0457-N,2016-07-01,2016-07-14,2016-08-31,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,34642,White,Male,28,,Female,Black,31
Public Initiated,2016-0460-P,2016-06-30,2016-07-05,2018-01-10,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,5th District,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34644,Black,Male,32,,Female,White,49
Public Initiated,2016-0460-P,2016-06-30,2016-07-05,2018-01-10,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,5th District,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37911,Black,Male,53,,Female,White,49
Rank Initiated,2016-0470-P,2016-07-05,2016-07-07,2018-09-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Investigations,Investigations,Regular Working,5:00PM-1:35M,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34650,Black,Male,47,,Male,Black,32
Rank Initiated,2016-0468-R,2016-07-01,2016-07-06,2017-10-17,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Unknown Working Status,Unknown Shift Hours,RULE 7: DEPT PROPERTY,PARAGRAPH 01 - USE OF DEPARTMENT EQUIPMENT,34652,White,Female,35,,,,
Rank Initiated,2016-0472-R,2016-07-07,2016-07-07,2017-11-07,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34654,Black,Male,46,,,,
Public Initiated,2016-0466-P,2016-05-13,2016-07-06,2016-12-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34655,Black,Male,31,,Male,Black,50
Public Initiated,2016-0466-P,2016-05-13,2016-07-06,2016-12-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34718,Black,Male,47,,Male,Black,50
Public Initiated,2016-0466-P,2016-05-13,2016-07-06,2016-12-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34719,White,Male,42,,Male,Black,50
Public Initiated,2016-0466-P,2016-05-13,2016-07-06,2016-12-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34716,White,Female,28,,Male,Black,50
Public Initiated,2016-0462-P,2016-06-25,2016-07-05,2017-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Investigations,Squad 2,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34657,Black,Male,31,,Female,Black,29
Public Initiated,2016-0477-P,2016-07-12,2016-07-18,,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34684,Black,Male,33,,Male,Race-Unknown,47
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34685,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34686,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34688,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34689,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34690,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34691,Black,Male,,,Male,White,
Public Initiated,2016-0464-P,,2016-07-06,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,Fatality Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34692,Black,Male,,,Male,White,
Public Initiated,2016-0476-P,2019-10-18,2016-07-13,2017-03-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34700,Black,Male,54,,Male,Black,61
Public Initiated,2016-0467-P,2015-02-15,2016-07-06,2017-04-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,C Platoon,Support Staff,Regular Working,Between 3pm-11pm,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,34702,Black,Male,32,,Male,Black,44
Rank Initiated,2016-0473-R,2016-07-09,2016-07-11,2017-08-04,DI-1,Completed,Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 13 - Social Networking...etc.,34722,White,Male,34,,Female,Black,
Rank Initiated,2016-0463-R,2016-07-05,2016-07-14,2017-01-03,DI-1,Completed,Other,FOB - Field Operations Bureau,Staff,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34726,Black,Male,55,,,,
Rank Initiated,2016-0463-R,2016-07-05,2016-07-14,2017-01-03,DI-1,Completed,Other,FOB - Field Operations Bureau,Staff,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34727,White,Male,56,,,,
Public Initiated,2016-0482-P,2016-07-17,2016-07-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34728,White,Male,25,,Female,Black,40
Public Initiated,2016-0482-P,2016-07-17,2016-07-17,2017-02-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34729,White,Male,38,,Female,Black,40
Public Initiated,2016-0489-P,2016-07-20,2016-07-20,2016-11-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,,,34731,Black,Male,43,,Male,Black,61
Public Initiated,2016-0484-P,2016-07-17,2016-07-18,2016-11-23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34732,American Indian/Alaska Native,Male,57,,Male,White,29
Public Initiated,2016-0484-P,2016-07-17,2016-07-18,2016-11-23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34734,Black,Male,53,,Male,White,29
Public Initiated,2016-0485-P,2016-07-14,2016-07-15,2016-08-30,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34736,White,Male,38,,Male,White,31
Public Initiated,2016-0485-P,2016-07-14,2016-07-15,2016-08-30,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34738,Black,Male,27,,Male,White,31
Public Initiated,2016-0491-P,2016-07-20,2016-07-21,2016-11-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34749,White,Male,29,,Female,White,29
Public Initiated,2016-0490-N,2016-06-16,2016-07-20,2016-12-27,NFIM,Completed,NFIM,,Office of the Superintendant,,,,,NO VIOLATION OBSERVED,,34753,White,Male,,,Male,Black,59
Public Initiated,2016-0486-P,2015-03-27,2016-07-19,2016-11-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34754,White,Male,45,,Female,White,31
Public Initiated,2016-0486-P,2015-03-27,2016-07-19,2016-11-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34838,Black,Male,51,,Female,White,31
Public Initiated,2016-0475-P,2016-06-13,2016-07-23,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34758,Black,Male,52,,Female,Black,48
Public Initiated,2016-0475-P,2016-06-13,2016-07-23,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34760,White,Male,62,,Female,Black,48
Public Initiated,2016-0475-P,2016-06-13,2016-07-23,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34764,Black,Female,34,,Female,Black,48
Public Initiated,2016-0475-P,2016-06-13,2016-07-23,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34762,Black,Female,43,,Female,Black,48
Rank Initiated,2016-0478-R,2016-07-11,2016-07-25,2017-01-31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34777,White,Male,57,,,,
Rank Initiated,2016-0479-R,2016-07-15,2016-07-25,2016-11-18,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 11 - INTERFERING WITH INVESTIGATIONS,34780,Black,Female,50,,,,
Rank Initiated,2016-0497-R,2016-07-26,2016-07-26,2016-09-22,DI-1,Completed,Sustained,ISB - Investigative Services Bureau,Criminal Investigations Division,Homicide Section,Squad E,,,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,34786,Black,Female,42,,,,
Public Initiated,2016-0494-P,2016-07-18,2016-07-26,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,34789,Black,Male,39,,Female,Black,58
Public Initiated,2016-0480-P,2016-07-04,2016-07-18,2017-04-17,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Staff,Recruitment Division,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,34808,White,Male,47,,Female,Hispanic,25
Public Initiated,2016-0480-P,2016-07-04,2016-07-18,2017-04-17,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Staff,Recruitment Division,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,34809,White,Female,27,,Female,Hispanic,25
Rank Initiated,2016-0498-R,2016-07-26,2016-07-26,2017-01-30,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,34813,White,Male,33,,,,
Public Initiated,2016-0471-P,2016-06-20,2016-07-22,2019-03-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Traffic Division,Unknown,,Off Duty,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34815,Black,Male,51,,Female,Black,46
Public Initiated,2016-0487-N,2016-07-16,2016-07-19,2017-01-09,NFIM,Completed,NFIM,Not - NOPD Officer,Unknown District/Division,Unknown,,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,34835,,,,,Male,Race-Unknown,
Rank Initiated,2016-0500-R,2016-07-26,2016-07-27,2017-01-31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,34840,Black,Male,37,,,,
Public Initiated,2016-0503-P,2016-07-09,2016-07-27,2016-11-21,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34842,White,Male,26,,Female,Black,35
Rank Initiated,2016-0502-R,2016-07-11,2016-07-27,2016-08-15,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34843,Black,Male,39,,,,
Public Initiated,2016-0488-P,2016-07-19,2016-07-28,2017-10-25,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,A Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,34846,White,Male,54,,Female,Black,37
Rank Initiated,2016-0509-R,2016-07-08,2016-07-28,2016-12-19,DI-1,Completed,Other,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Off Duty,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34876,White,Male,38,,,,
Public Initiated,2016-0492-N,2016-07-18,2016-07-21,2016-09-13,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,34880,,,,,Female,Black,67
Public Initiated,2016-0495-P,2016-07-24,2016-07-29,2017-11-09,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34881,White,Male,32,,Male,Black,24
Rank Initiated,2016-0496-R,2016-05-14,2016-07-26,2018-04-25,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Platoon A,Regular Working,5:00am-2:00pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34887,Black,Male,39,,,,
Public Initiated,2016-0507-P,2016-07-27,2016-07-28,2017-05-11,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34889,Black,Male,37,,Male,Black,29
Public Initiated,2016-0481-P,2016-07-20,2016-07-16,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,Crime Lab Division,Crime Lab Section,,Off Duty,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34891,Black,Female,36,,Female,Black,
Rank Initiated,2016-0483-R,2016-07-17,2016-07-20,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,7th District,Squad 1,Off Duty,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34893,White,Male,50,,,,
Public Initiated,2016-0504-P,,2016-07-28,2019-02-08,DI-1,Completed,Sustained,MSB - Management Services Bureau,8th District,Alternative Police Response Unit,,,,RULE 1: OPERATION MANUALS,PAPRGRAPH 1: RULES OF PROCEDURES,34896,Black,Male,,,Female,Black,
Public Initiated,2016-0505-P,,2016-08-01,2017-05-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,34904,Hispanic,Male,,,Female,Black,
Public Initiated,2016-0505-P,,2016-08-01,2017-05-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,34906,Black,Female,,,Female,Black,
Public Initiated,2016-0506-P,2015-01-01,2016-08-01,2017-06-01,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34903,Black,Male,59,,Female,Black,31
