PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2017-0540,10/15/2017,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (No Bite),L2,,Yes,White,Male,49,31,,,,,,,,,,,Flight from an Officer,No
FTN2017-0543,10/17/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,38 | 40,17 | 24,,,,,,,,,,,Flight from an Officer,No | No
FTN2016-0235,04/26/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Rifle (Pointed) | Canine (No Bite),L1 | L2,,Yes | Yes,Asian/Pacific Islander | Black,Male | Male,33 | 43,14 | 24,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2016-0232,04/27/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,36,8,,,,,,,,,,,Other,No
FTN2016-0233,04/27/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,38,8,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2016-0236,04/28/2016,PIB - Public Integrity Bureau,Force Investigation Team,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | CEW Deployment | Hands | CEW Deployment,L1 | L2 | L1 | L2,,No | No | No | No,White | White | Black | Black,Male | Male | Male | Male,44 | 44 | 50 | 50,15 | 15 | 24 | 24,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2016-0238,04/28/2016,FOB - Field Operations Bureau,5th District,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Male,40 | 23,21 | 7,,,,,,,,,,,refuse verbal commands,No | No
FTN2016-0334,06/27/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Force (Take Down),L1 | L2,,Yes | Yes,Black | White,Male | Male,28 | 26,8 | 8,,,,,,,,,,,refuse verbal commands,No | No
FTN2016-0335,06/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,26,8,,,,,,,,,,,Resisting Lawful Arrest,Yes
FTN2017-0544,10/18/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,49 | 45,20 | 25,,,,,,,,,,,Tactical Deployments,No | No
FTN2017-0551,10/20/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,Hands,L1,,Yes,White,Male,26,6,,,,,,,,,,,Battery on Police Officer,No
FTN2020-0241,08/20/2020,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,36,14,,,,,,,,,,,Other,No
FTN2019-0263,08/18/2019,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Asian/Pacific Islander | White,Male | Male,28 | 26,5 | 4,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0542,10/16/2017,FOB - Field Operations Bureau,2nd District,,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | White | White,Male | Male | Male,31 | 27 | 26,10 | 8 | 8,,,,,,,,,,,Flight from an Officer,No | No | No
FTN2017-0550,10/20/2017,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,White | Black | Black | Black,Male | Male | Male | Female,34 | 52 | 55 | 30,13 | 14 | 2 | 8,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2017-0556,10/23/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Escort Tech) | Force (Escort Tech) | Force (Take Down),L1 | L1 | L2,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,32 | 36 | 36,13 | 11 | 11,,,,,,,,,,,Escape,No | No | No
FTN2017-0560,10/26/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Other,Hands,L1,,Yes,White,Male,25,6,,,,,,,,,,,Other,No
FTN2017-0573,10/30/2017,FOB - Field Operations Bureau,Special Operations Division,,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,29,8,,,,,,,,,,,refuse verbal commands,No
FTN2017-0566,10/30/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,,Yes,Black,Male,48,13,,,,,,,,,,,Other,No
FTN2017-0575,11/05/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Re-Assigned,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,No,Black,Male,49,20,,,,,,,,,,,Tactical Deployments,No
FTN2016-0257,05/07/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,46,25,,,,,,,,,,,Other,No
FTN2017-0592,11/08/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | No | Yes | Yes,White | Black | White | Black | White | Black,Male | Male | Male | Male | Male | Male,39 | 28 | 43 | 40 | 47 | 29,16 | 13 | 13 | 20 | 28 | 10,,,,,,,,,,,Tactical Deployments,No | No | No | No | No | No
FTN2017-0584,11/13/2017,FOB - Field Operations Bureau,6th District,,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | Black | White,Male | Male | Male,48 | 29 | 46,15 | 13 | 25,,,,,,,,,,,Weapon Exhibited,No | No | No
FTN2017-0583,11/13/2017,FOB - Field Operations Bureau,7th District,A Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Asian/Pacific Islander | Black,Male | Male,23 | 34,6 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2017-0587,11/15/2017,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes,White | Black | White | White | White | White,Male | Male | Male | Male | Male | Male,35 | 34 | 28 | 30 | 27 | 32,13 | 11 | 9 | 8 | 8 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2017-0588,11/16/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,36,11,,,,,,,,,,,Flight from an Officer,No
FTN2017-0589,11/18/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,40 | 53,14 | 13,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0591,11/19/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,28,6,,,,,,,,,,,refuse verbal commands,No
FTN2017-0647,12/26/2017,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Deployment,L2,,No,White,Male,51,35,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0305,09/30/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Traffic Stop,Good,Clear Conditions,Hands | Force (Take Down) | Head Strike (No Wep),L1 | L2 | L3,,No | Yes | Yes,Hispanic | White | White,Male | Male | Male,42 | 35 | 35,6 | 6 | 6,,,,,,,,,,,Flight from an Officer,No | No | No
FTN2017-0545,10/17/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Female,32,6,,,,,,,,,,,refuse verbal commands,No
FTN2017-0597,11/19/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Rifle (Pointed) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | White | White,Male | Male | Male,28 | 43 | 33,13 | 13 | 11,,,,,,,,,,,Tactical Deployments,No | No | No
FTN2017-0594,11/21/2017,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,47 | 34,6 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,27 | 25 | 27,8 | 8 | 7,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2017-0596,11/22/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite) | CEW Deployment,L1 | L1 | L2 | L2,,Yes | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Male,43 | 29 | 49 | 40,17 | 13 | 31 | 7,,,,,,,,,,,Flight from an Officer,No | No | No | No
FTN2017-0192,04/12/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Hands | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,Black | Black | Black | Black | Black,Male | Male | Male | Male | Male,29 | 29 | 40 | 40 | 50,14 | 14 | 19 | 19 | 25,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No
FTN2017-0548,10/19/2017,FOB - Field Operations Bureau,Special Operations Division,,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,16,,,,,,,,,,,Tactical Deployments,No
FTN2017-0598,11/26/2017,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,41 | 53,17 | 31,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0601,11/27/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,6,,,,,,,,,,,Other,No
FTN2017-0599,11/27/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Hispanic,Male,37,11,,,,,,,,,,,Other,No
FTN2017-0605,11/29/2017,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Defense Tech),L2,,Yes,White,Male,29,8,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0602,11/29/2017,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,,Yes | Yes,Black | Black,Male | Male,34 | 34,18 | 18,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0606,11/29/2017,FOB - Field Operations Bureau,5th District,Task Force,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | No,Black | Black,Male | Male,28 | 27,8 | 7,,,,,,,,,,,Flight from an Officer,No | No
FTN2017-0464,09/03/2017,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,,Yes | Yes,White | White,Male | Male,38 | 38,22 | 22,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0603,11/29/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,29,7,,,,,,,,,,,Flight from an Officer,No
FTN2018-0402,11/01/2018,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Heavy,CEW Deployment,L2,,Yes,White,Male,31,7,,,,,,,,,,,Other,No
FTN2018-0404,11/01/2018,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,29,7,,,,,,,,,,,refuse verbal commands,No
FTN2018-0421,11/13/2018,FOB - Field Operations Bureau,4th District,B Platoon,,Regular Working,,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,27,5,,,,,,,,,,,Battery on Police Officer,Yes
FTN2018-0426,11/16/2018,FOB - Field Operations Bureau,8th District,D.I.U.,Squad 2,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Head Strike (No Wep),L3,,No,Asian/Pacific Islander,Male,43,7,,,,,,,,,,,Battery on Police Officer,Yes
FTN2018-0429,11/18/2018,FOB - Field Operations Bureau,6th District,Limited Duty,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | White | White,Male | Male | Male,33 | 28 | 28,13 | 6 | 6,,,,,,,,,,,Flight from an Officer,No | No | No
FTN2018-0430,11/18/2018,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury) | Hands,L1 | L2 | L1,,Yes | Yes | No,Hispanic | Hispanic | White,Male | Male | Female,25 | 25 | 26,5 | 5 | 5,,,,,,,,,,,Flight from an Officer,Yes | Yes | Yes
FTN2021-0408,12/19/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Female | Male | Male,34 | 23 | 23,5 | 4 | 4,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2017-0465,09/04/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Black,Female,34,14,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0466,09/05/2017,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Male,48 | 46,28 | 25,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2018-0406,11/03/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,40,8,,,,,,,,,,,Tactical Deployments,No
FTN2018-0431,11/18/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury),L2,,Yes,Black,Male,43,19,,,,,,,,,,,Battery on Police Officer,Yes
FTN2018-0428,11/18/2018,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,32,8,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0433,11/19/2018,FOB - Field Operations Bureau,1st District,K9 Section,,Regular Working,,Completed,UOF Justified,Traffic Stop,Poor,Rainy Conditions - Light,Canine (No Bite),L2,,Yes,White,Male,38,14,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0441,12/02/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,27,6,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0445,12/04/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Black,Male | Male,37 | 31,6 | 5,,,,,,,,,,,Room clearing,No | No
FTN2017-0546,10/19/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Asian/Pacific Islander | White,Male | Male,25 | 25,7 | 6,,,,,,,,,,,Other,No | No
FTN2017-0547,10/19/2017,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,58,39,,,,,,,,,,,Weapon Exhibited,No
FTN2017-0564,10/29/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Baton/PR-24(NonStrk),L2,,Yes,White,Male,26,7,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0407,11/04/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Male,27 | 24,6 | 6,,,,,,,,,,,Battery on Police Officer,No | No
FTN2018-0455,12/12/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,40,16,,,,,,,,,,,Tactical Deployments,No
FTN2018-0459,12/18/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,30,5,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0463,12/21/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,Not Applicable (Non-U.S.),Male,35,5,,,,,,,,,,,refuse verbal commands,No
FTN2018-0473,12/31/2018,FOB - Field Operations Bureau,6th District,,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Rainy Conditions - Light,Hands,L1,,No,White,Male,26,4,,,,,,,,,,,Flight from an Officer,Yes
FTN2019-0004,01/01/2019,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,32,6,,,,,,,,,,,refuse verbal commands,No
FTN2020-0318,10/30/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Other,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Female,23,4,,,,,,,,,,,Flight from an Officer,No
FTN2016-0291,05/29/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Black,Female | Male,32 | 38,8 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0468,09/06/2017,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,44,14,,,,,,,,,,,Weapon Exhibited,No
FTN2017-0552,10/21/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | White,Male | Male | Male,53 | 28 | 33,33 | 6 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2017-0554,10/22/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | White,Male | Male,23 | 27,6 | 6,,,,,,,,,,,Flight from an Officer,Yes | No
FTN2017-0553,10/22/2017,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Medium,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,White | Black,Male | Male,36 | 47,14 | 26,,,,,,,,,,,Battery on Police Officer,No | No
FTN2019-0006,01/03/2019,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,CEW Deployment,L2,,Yes,White,Male,31,11,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0007,01/04/2019,FOB - Field Operations Bureau,1st District,Task Force,Task Force A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Discharged) | Firearm (Discharged) | Firearm (Exhibited) | Firearm (Discharged) | Firearm (Exhibited),L4 | L4 | L1 | L4 | L1,,Yes | Yes | No | Yes | No,Black | Black | White | Hispanic | White,Male | Female | Male | Male | Male,29 | 32 | 25 | 26 | 23,9 | 8 | 6 | 6 | 4,,,,,,,,,,,Resisting Officer w/Weapon,No | No | No | Yes | No
FTN2019-0008,01/05/2019,FOB - Field Operations Bureau,8th District,Task Force,A,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,No,Black,Male,47,7,,,,,,,,,,,Resisting Officer w/Weapon,No
FTN2017-0055,02/03/2017,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,38 | 36,17 | 11,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2018-0026,01/22/2018,FOB - Field Operations Bureau,8th District,C Platoon,,Paid Detail,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | CEW Deployment | Force (Take Down),L1 | L2 | L2,,No | No | No,Black | Black | Black,Male | Male | Male,31 | 31 | 31,14 | 14 | 14,,,,,,,,,,,Battery on Police Officer,No | No | No
FTN2016-0295,06/02/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Canine (No Bite),L1,,Yes,Black,Male,58,5,,,,,,,,,,,Resisting Officer w/Weapon,No
